,is_iceberg,not_iceberg,id,inc_angle,min1,max1,std1,med1,mean1,laplace1,sobel0_1,sobel1_1,kurtosis1,skewness1,min2,max2,std2,med2,mean2,laplace2,sobel0_2,sobel1_2,kurtosis2,skewness2
10,1,0,3aac67cd,44.624,-32.744022,-3.636548,2.541368884824349,-23.20195,-23.127471154133328,28.498332977294922,86.72450256347656,90.85092163085938,6.384882803625473,1.031854510307312,-39.460178,-13.155593,2.3754184528681623,-27.790806,-28.114652952711108,37.89091110229492,95.61811065673828,88.8131103515625,3.384202401469734,0.17332227528095245
11,0,1,161a6860,39.5067,-33.882694,5.258865,2.6237328121267045,-24.10309,-24.252110988444443,31.263774871826172,99.83026885986328,96.92766571044922,18.826136482386616,1.9636157751083374,-37.405006,-8.155967,2.2685310855442347,-27.507896,-27.751884192355558,29.102094650268555,91.65618133544922,83.76495361328125,4.121145463118547,0.3071248233318329
12,1,0,3c794f0c,41.8544,-34.436508,1.85695,4.275602288620629,-21.28529,-20.628696460977775,30.209177017211914,104.8475112915039,113.43097686767578,4.954581610162877,1.7444748878479004,-35.266907,-6.447122,3.337939849536787,-26.639111,-26.401536940977778,33.3935546875,103.81758117675781,92.75859069824219,5.9500681375897955,1.7856038808822632
13,1,0,86730f0d,45.2909,-38.090755,-8.506302,2.2590393034070537,-26.048332,-26.101294579733338,37.61838150024414,88.65428924560547,74.90843200683594,5.29610390692274,0.42264223098754883,-34.992717999999996,-20.183361,2.083004243452902,-26.048141,-26.12505145102222,36.895328521728516,87.8039779663086,66.089599609375,0.3003897488070133,-0.4652867019176483
14,0,1,e356f7a3,34.7715,-32.455845,-1.396321,2.803865668315932,-21.999495,-22.033083533155555,34.92522048950195,95.69986724853516,103.69010925292969,4.059772666812215,0.648675799369812,-35.151333,-8.8591,2.285670699102389,-25.874886,-25.857271627911107,38.18182373046875,88.13040161132812,72.10501098632812,3.9070844706010606,0.403438001871109
15,0,1,87592c38,43.782,-41.154305,-9.376728,2.33426483707386,-27.527512,-27.474859633955557,32.779239654541016,84.98233032226562,80.38085174560547,5.163999762282277,0.5694763660430908,-39.57085,-12.398352,2.2574288956125597,-30.028725,-30.319851573866668,38.55302047729492,89.8143310546875,79.15975189208984,3.7335265117213643,0.2402869313955307
16,0,1,1c18a39e,45.3568,-34.144661,-8.202933,2.3306007199670447,-23.608482,-23.678953015644446,30.957630157470703,88.54959106445312,87.24302673339844,3.443932023872673,0.4593496322631836,-36.909927,-18.849331,2.1645384691469425,-25.145733,-25.384818343111107,38.39694595336914,93.78857421875,73.45848083496094,0.5558933282199328,-0.5058162808418274
17,0,1,a210f335,38.7812,-30.415844,-1.525544,2.2997996145956834,-20.253181,-20.372287164977777,26.402328491210938,92.96207427978516,85.1352767944336,4.172189497436165,0.1813708394765854,-39.958435,-12.476587,2.1705877654633516,-26.895525,-27.0733733264,28.473936080932617,90.2751235961914,77.42506408691406,1.627733416932296,-0.17142650485038757
18,0,1,958d155f,42.5145,-32.922569,2.5291420000000002,2.7027482719752816,-21.758804,-21.747603373866667,28.87032127380371,85.77318572998047,122.96401977539062,14.690234825931181,2.014688491821289,-37.140717,-15.831013,2.219291379437826,-28.755791,-28.832427626311112,31.600767135620117,89.2131118774414,80.02091979980469,1.3017898220982218,-0.07799749821424484
19,1,0,6d81d201,37.2802,-33.432838,-8.180227,2.2560425312575023,-19.727016,-19.885108768177776,24.44035530090332,90.48651123046875,88.73321533203125,1.1942858254376807,-0.2022072672843933,-38.808308,-17.330204,2.198954543798039,-25.883472,-25.984650292088887,25.58536148071289,91.22199249267578,79.45494079589844,0.7730744226799691,-0.444657564163208
20,0,1,75126706,41.7973,-37.220768,4.59654,2.9566945933174313,-27.323339,-27.456331262933332,37.4322509765625,112.86813354492188,98.21697998046875,22.10984436324213,2.659346342086792,-38.377655,-7.933879,2.3017324280280973,-27.322721,-27.474375763555553,32.81201171875,92.61939239501953,80.42218017578125,7.043164847025773,0.6856160163879395
21,1,0,112a6cfa,38.0669,-34.765961,0.7154659999999999,2.6236927295376633,-24.231997,-24.27602167626667,29.790666580200195,97.67169189453125,92.1085205078125,11.941487757970794,1.6031279563903809,-36.513222,-7.363636,2.270883236128893,-26.347778,-26.442896875911114,27.427396774291992,99.91731262207031,84.33098602294922,4.443111595797969,0.21154767274856567
22,0,1,a29662a4,39.6636,-28.247646,12.812941,4.115085002836488,-17.42297,-17.060071977777778,32.12391662597656,139.4591522216797,107.63768768310547,15.416012921478416,3.065488815307617,-36.400139,2.358707,3.90967014868282,-26.855583,-26.355767383644444,34.062496185302734,127.44366455078125,97.44701385498047,12.76686570529337,2.8010215759277344
23,1,0,bd1a1bdf,37.6866,-26.353121,-1.675293,2.525624767301627,-16.42136,-16.438126374933333,33.96935272216797,85.4232406616211,89.6639633178711,3.7501806407443743,0.7182104587554932,-36.519554,-16.139864,2.372451927351878,-25.500586,-25.730376165511107,37.407684326171875,90.66278076171875,81.3488540649414,1.005282474465539,-0.18972337245941162
24,0,1,31e37d93,40.296,-27.78204,17.280163,4.144114409823572,-16.112707,-15.701428835200002,37.88833999633789,117.96546936035156,121.89910888671875,15.040113482302651,3.070633888244629,-39.824722,9.458724,4.02095099031252,-24.759295,-24.412428723733335,39.502742767333984,114.18238067626953,119.06536865234375,14.587070923136473,2.914876699447632
25,1,0,76b8d446,39.234,-38.620865,-3.416333,2.5844709594776916,-22.081699,-22.146422439111113,34.4605712890625,90.8642807006836,88.60904693603516,5.44565086647612,0.6378064155578613,-39.959633,-16.534634,2.2628639549101623,-28.288044,-28.387259791822224,39.0976448059082,82.72081756591797,80.15068054199219,1.0650914701400556,-0.1500338762998581
26,1,0,958d42a8,40.3904,-29.828651,5.745607,5.208767240502501,-20.283695,-19.079130600355555,33.396217346191406,106.8547134399414,143.26226806640625,5.004908472244221,2.129056453704834,-35.403362,-6.934982,3.8927050548537574,-25.857834,-25.12589822951111,31.11240577697754,88.52284240722656,100.4654312133789,4.150684237976565,1.7475275993347168
27,0,1,70830858,43.7895,-39.563889,-0.304562,2.702790753030841,-29.551203,-29.51239212853333,40.208106994628906,99.85211181640625,92.64218139648438,18.50839641645301,2.1391420364379883,-43.084946,-11.605768,2.320944951357961,-30.022356,-30.286189875377776,39.684532165527344,100.09033203125,74.96391296386719,5.396349913449502,0.4313321113586426
28,1,0,faf2c49e,42.5891,-34.40316,-3.299715,2.609040970924658,-24.104689,-24.061319443555554,34.087066650390625,94.56742095947266,97.29840087890625,9.862375337496582,1.4148515462875366,-38.327995,-15.955854,2.203414078893241,-27.627155,-27.724443509333337,33.76287078857422,95.75657653808594,70.74010467529297,0.9514705143958673,-0.1924932599067688
29,0,1,02314c59,41.0303,-35.336029,0.41317899999999996,2.537553861957699,-24.966048999999998,-25.097489970844446,36.51862716674805,93.45706939697266,95.80181884765625,13.416073574395899,1.416467547416687,-34.509216,-3.878598,2.329845997790481,-25.231401,-25.271327560177777,32.869659423828125,89.02776336669922,87.60093688964844,8.513339446815426,0.7951112389564514
30,0,1,6332531e,34.8721,-23.675716,4.411598,3.018663923351917,-11.631065,-11.653634016177778,27.210500717163086,92.38245391845703,158.2540740966797,2.061756177924825,0.3331524431705475,-34.347908,-6.89334,2.62147087087331,-23.46697,-23.56563266311111,31.84263038635254,93.0818099975586,93.6522216796875,4.913432626913565,0.9305257201194763
31,0,1,c05730c3,34.0537,-30.469568,26.884211,5.44548678932599,-16.219894,-15.305152518933333,36.27478790283203,178.9254150390625,151.74630737304688,11.064197315230807,2.6549766063690186,-33.769661,5.045228,4.546963057297572,-24.003889,-23.228185375466666,35.37043762207031,142.8347930908203,123.80537414550781,9.436610965121933,2.5452160835266113
32,1,0,83dd3a43,43.9466,-38.182728,-9.327996,2.743089261120593,-28.638988,-28.54334278417778,35.51402282714844,99.43856811523438,91.3016128540039,8.118278291413494,1.409198522567749,-43.042175,-19.966328,2.2436787921665284,-29.977058,-29.872398544177774,36.774261474609375,88.49345397949219,75.37078857421875,1.3040448364958728,-0.3060239851474762
33,1,0,f193e8b0,44.6239,-36.996368,-6.366425,2.323445619681361,-23.237036,-23.32336153742222,30.65955352783203,95.5655517578125,81.76387786865234,2.8214599813312793,0.1509312391281128,-38.156528,-15.057803,2.1951644828276566,-28.208626,-28.280909529066665,34.88993835449219,92.93730926513672,73.43964385986328,1.2350521513889179,-0.25376683473587036
34,1,0,132118fc,33.9978,-33.146557,-4.228229,2.2351305899112597,-21.584129,-21.61651143911111,26.895328521728516,90.3560791015625,77.07012176513672,3.319456470486668,0.18866294622421265,-36.073654,-19.168289,2.0709077922840313,-24.478514,-24.70982155217778,31.236005783081055,92.44844818115234,68.1152114868164,0.5858691412340775,-0.4996890425682068
35,1,0,93a797d3,35.7025,-31.279659,-0.014001,3.2445153739205446,-18.276365,-18.13354875911111,28.86819076538086,91.5906753540039,120.39600372314453,4.109978967214913,1.0931577682495117,-36.807304,-11.487647,2.554397811936954,-25.785431,-25.626756744355554,35.01327896118164,88.74982452392578,88.62430572509766,3.474035965412268,0.775341272354126
36,1,0,0a192892,35.2954,-32.961628,5.192398,3.0249617603327135,-20.320959,-20.203386789333333,39.54944610595703,97.25738525390625,92.38550567626953,11.917232077771182,2.0061697959899902,-33.607784,-15.216055,2.1754410766678274,-24.7593,-24.91079636355556,41.67216491699219,77.81234741210938,72.81161499023438,0.645726219211685,-0.2739957571029663
37,0,1,f6a75c6b,35.7829,-27.21546,9.609571,3.3243562255033767,-17.461916,-17.281930451022223,29.322694778442383,97.54805755615234,124.24018096923828,12.694230993761433,2.4122791290283203,-34.256145,0.363533,3.422495956365968,-24.475668,-24.13426470897778,34.5408821105957,99.91996765136719,126.28228759765625,12.140693394727759,2.5689022541046143
38,1,0,4cfca6da,34.4721,-35.937943,-1.630944,2.4595860098743856,-25.052227,-25.10565611146667,41.88066482543945,89.2929916381836,85.43717193603516,10.820857951203061,1.1559194326400757,-36.848389,-18.667833,2.07879484349135,-26.109583,-26.381774273066668,43.726905822753906,78.79390716552734,68.92241668701172,0.6940487674407128,-0.46683061122894287
39,1,0,a65b9aff,41.4386,-34.48402,-3.993952,2.9568705266509623,-24.939274,-24.795480598044442,40.24982452392578,92.30438232421875,91.2903060913086,9.86206593537037,1.8570283651351929,-36.223495,-10.014601,2.4101074072042765,-26.063433,-26.27028911448889,40.01974105834961,84.98683166503906,81.11399841308594,5.0556505858134475,0.669694185256958
40,1,0,af91525e,42.1483,-31.735538,4.698398,3.8195521512210644,-20.292814,-19.908148980977778,38.551177978515625,111.22254180908203,106.08895874023438,7.838853156177096,1.911842703819275,-39.692154,-8.731300000000001,2.8093607604943394,-27.299591,-27.312433068800004,39.9679069519043,90.95619201660156,81.10175323486328,5.762271609359676,1.2296468019485474
41,0,1,4be9117c,39.5936,-31.940704,23.300823,5.812449129655164,-20.342133,-19.078866440888888,44.653648376464844,157.07965087890625,181.88795471191406,11.621339008798035,2.8392398357391357,-36.3787,7.861118,3.743576249611964,-26.832676,-26.370716623644448,32.38520812988281,123.10883331298828,125.76652526855469,18.017662339772514,3.114117383956909
42,0,1,3d24353c,31.4597,-26.234076,15.475125,3.500863236085083,-15.751635,-15.46272427448889,28.870058059692383,112.49044799804688,129.53587341308594,14.11928697319048,2.563694477081299,-33.414684,0.648906,3.6974256169323767,-24.080284,-23.49630966613333,35.646907806396484,113.60720825195312,109.52037811279297,8.186060732938948,2.151336431503296
43,0,1,66d17828,43.1096,-34.351711,-3.491526,2.410334202451625,-25.076389,-25.2350062352,31.67474937438965,90.92692565917969,87.16722106933594,8.138571798361376,0.8979941606521606,-43.138279,-11.772872,2.357412657191691,-31.094999,-31.1070822256,40.44044876098633,94.19216918945312,82.89804077148438,5.867275815912119,0.5237353444099426
44,0,1,b78438be,44.4569,-32.797588,19.625322,4.857079326356239,-21.094559,-20.26572552977778,35.58191680908203,146.15032958984375,144.17550659179688,12.609683730362296,2.8162992000579834,-41.095337,3.584717,4.530204213879957,-28.631416,-28.01873990382222,39.7997932434082,139.9393310546875,108.28075408935547,13.33480766957317,2.9250690937042236
45,0,1,91febbeb,31.3432,-29.08617,5.8904700000000005,2.9496890968564022,-19.417318,-19.3587602736,26.52037811279297,116.03751373291016,102.51394653320312,14.73375271540122,2.2293097972869873,-32.800694,-3.142028,2.5806257091034377,-24.063091,-23.9747041472,31.055402755737305,105.36885833740234,80.68730163574219,10.035556174791687,1.5511366128921509
46,1,0,ade9a4ab,36.1061,-29.340954,3.041713,3.034886303807511,-16.799028,-16.651647890666666,32.94831848144531,91.18867492675781,99.34984588623047,4.913232914263263,1.2114782333374023,-34.960274,-7.356372,2.6892971796855933,-24.909363,-24.940651927999998,34.86836242675781,85.80986022949219,86.62744140625,5.789790247680925,1.2202473878860474
47,1,0,b7e6b182,40.7118,-34.538498,1.7675239999999999,4.448850560302414,-24.995319,-24.136573811555557,43.198429107666016,115.1039810180664,113.61224365234375,6.041976356461573,2.0321550369262695,-37.305454,-9.566362,2.66986102868627,-26.425352,-26.46389382293333,37.309326171875,85.28882598876953,79.56878662109375,4.008372382584584,0.9652047157287598
48,0,1,2e5ba8a2,40.9588,-31.80246,-9.392254,2.1772118419765394,-22.261456,-22.375002246044446,28.186613082885742,86.0837173461914,83.05957794189453,1.3431171184371822,-0.1670922189950943,-38.424679,-19.202991,2.1065726229811017,-25.782396,-25.904004672711114,29.444883346557617,87.09001159667969,79.577880859375,0.785814100384024,-0.46927040815353394
49,1,0,2336fe9c,34.4721,-33.675739,-5.17266,2.501006999599143,-23.699215,-23.76750490115556,40.03679275512695,86.6991195678711,85.35853576660156,5.816246440239796,0.8366926908493042,-35.953545,-18.80739,2.097374397121766,-26.41275,-26.554160595555558,41.03766632080078,73.09455108642578,69.52459716796875,0.5674335352387763,-0.321972131729126
50,1,0,f6c43c24,38.0736,-29.568172,-0.12703799999999998,3.0089420396668123,-20.940663999999998,-20.78547275128889,24.686782836914062,88.77485656738281,103.3987808227539,6.752838778149643,1.5300509929656982,-35.590107,-12.124697,2.5756696391739875,-26.647062,-26.69550032124444,27.17219352722168,91.62190246582031,84.60990905761719,3.076451786895701,0.7437390089035034
51,1,0,c49bd5f2,38.85,-32.596344,-4.322333,2.7837925740624367,-23.055201,-22.96877149066667,27.809293746948242,88.98809814453125,96.91471099853516,4.845668810470055,1.1144464015960693,-36.435837,-16.435894,2.217391242458835,-27.221779,-27.39602915448889,28.380685806274414,87.86083221435547,78.796142578125,1.050990639583726,-0.1239461600780487
52,0,1,a87234b9,44.5876,-27.42795,3.085248,2.5509818863588802,-16.753403,-16.73650096657778,26.018016815185547,85.71900177001953,108.00433349609375,6.883713661008466,0.9776902794837952,-35.946255,-19.323162,2.1906376854970486,-24.660667,-24.855785506666663,31.034276962280273,90.33525848388672,78.12071228027344,0.6504424129506976,-0.534034013748169
53,1,0,6c905a48,42.5742,-31.703396,-1.9697,2.707691443192966,-21.244862,-21.1705951776,26.262187957763672,102.1720962524414,101.66606903076172,3.5179063346737323,0.6540186405181885,-39.663296,-16.843523,2.2739026311255053,-28.779053,-28.71631833902222,31.069238662719727,97.83206939697266,72.60137176513672,1.1973626264980508,0.019202353432774544
54,1,0,a2a728d6,36.4792,-31.705206,-3.725891,2.3595735298296727,-20.672718,-20.810879314666668,24.15809440612793,85.9046630859375,84.11714172363281,4.314375216392346,0.41271108388900757,-32.868305,-17.20014,2.0629043446406903,-23.968269,-24.147368544533332,24.27753257751465,86.0298080444336,69.58605194091797,0.4095736055905239,-0.435931533575058
55,0,1,28de1d17,42.5376,-27.596605,0.855726,3.1277401200454777,-16.925005,-16.668414076444446,26.292165756225586,85.81098937988281,110.69686889648438,4.727614055550437,1.3809845447540283,-36.116116,-20.23761,2.091134723335972,-26.571571,-26.578090909866667,26.730710983276367,87.33619689941406,71.50218963623047,0.22689264761311367,-0.40005943179130554
56,0,1,bee2de18,39.5371,-38.570179,-2.4449579999999997,2.8039439706847546,-25.92885,-25.93089305635555,31.35161590576172,89.42967987060547,114.72675323486328,13.51687891193847,1.9728556871414185,-39.906631,-11.663832,2.3514197334347915,-27.511612,-27.583491947199995,33.0968017578125,91.46688079833984,92.49581146240234,4.726949778555492,0.3499167859554291
57,0,1,379e9548,36.4987,-30.231533,-1.156691,2.4020180906301984,-20.995144,-20.954863193955557,30.280811309814453,87.97523498535156,94.07682037353516,3.6208527105668455,0.4378975033760071,-32.285507,-14.366926,2.050527335129285,-24.207842,-24.292070001244447,34.46318054199219,82.5135498046875,67.08575439453125,0.44145892058608416,-0.33109721541404724
58,1,0,2d8ace41,35.6588,-31.264687,-1.719531,2.3155758313535175,-20.30982,-20.43903609528889,28.148353576660156,94.54811096191406,86.58655548095703,3.7216217026820217,0.31167423725128174,-34.286629,-17.489441,2.1024603842016214,-25.240402,-25.342423810844444,35.07083511352539,88.98700714111328,69.6082992553711,0.517917613222973,-0.4005427658557892
59,0,1,3a75d8bc,36.3984,-35.743641,9.080307,5.607351803271494,-25.372093,-24.272486520355557,40.046443939208984,148.69268798828125,129.45188903808594,8.238690402499,2.4997448921203613,-36.657776,4.021665,4.039679498351422,-26.492758,-25.970388827377775,38.188106536865234,130.52587890625,110.34693145751953,10.773311906497469,2.58518385887146
60,1,0,08fb43c6,41.1294,-28.468962,0.588228,2.9260090763627185,-17.699142,-17.64783567306667,28.12159538269043,91.5162353515625,117.9552001953125,5.3313103344590544,1.0653722286224365,-34.48893,-12.088103,2.4630698931356805,-24.190731,-24.272770068622226,31.667530059814453,90.38260650634766,97.47425842285156,2.5010619646981294,0.45883700251579285
61,1,0,4d57fe03,32.265,-32.134571,-6.112023,2.3440150074644355,-20.800905,-20.92349647751111,27.018186569213867,93.50518798828125,75.00306701660156,3.192829266133475,0.4067935049533844,-32.131084,-15.791075,2.08729325931625,-23.956509,-24.00796728266667,30.561161041259766,90.48055267333984,67.27368927001953,0.3345295376220778,-0.2993045747280121
62,0,1,7e02f2d0,38.9177,-29.468113,16.973013,3.7967046207231627,-17.646107,-17.3261560848,29.943828582763672,100.25084686279297,143.48704528808594,19.726843356389537,3.365788221359253,-35.490028,4.919445,3.6549422573493158,-25.661642,-25.419642030399995,30.047332763671875,97.7398681640625,124.28971099853516,20.163218983164576,3.403904676437378
63,0,1,2951d5a2,42.5612,-36.119186,15.62528,5.920454629535635,-23.606825,-22.360582784177776,45.087650299072266,122.11080169677734,148.38577270507812,10.580813055000135,2.802205801010132,-43.161526,-0.239731,4.427546413620618,-29.629551,-29.242467569422224,40.82146072387695,104.6599349975586,124.15742492675781,11.380027505689654,2.8191583156585693
64,0,1,67cdcd2f,30.4869,-23.573795,4.493593,2.825463645275739,-13.156423,-13.058502354133331,23.404094696044922,97.06262969970703,123.80919647216797,4.375634466123988,0.9224908351898193,-33.518669,-2.207966,2.7894858508376035,-23.1922,-23.216988845155555,27.74066162109375,98.03223419189453,95.90215301513672,10.583432839259176,1.9037344455718994
65,0,1,2f23d622,40.367,-31.339481,-11.33765,2.4799895824164917,-20.613422,-20.739953099911112,25.70207405090332,85.2606430053711,87.00393676757812,0.2875242180418405,-0.2211841344833374,-36.336979,-14.056385,2.1607618575712673,-26.794132,-26.974839671822224,29.450366973876953,85.0747299194336,79.41106414794922,1.3022601105953102,-0.1329352706670761
66,1,0,1d500cdf,33.1315,-29.676842,1.333317,2.4133406258119297,-18.392109,-18.39450077404444,24.124940872192383,90.85659790039062,82.2892074584961,5.624131856466022,0.7889612913131714,-35.296246,-13.014661,2.2411382327211555,-24.082123,-24.295921088,33.316123962402344,100.97278594970703,72.70157623291016,0.9916175239385341,-0.3128923773765564
67,0,1,9f84a328,45.1398,-29.414921,1.684891,2.683510968446618,-19.574139,-19.5935458432,27.226839065551758,98.7356185913086,103.26522064208984,7.486533689616396,1.1404497623443604,-41.012123,-9.415915,2.417430633840678,-25.743676999999998,-25.859045281777778,33.65270233154297,98.82209014892578,83.51665496826172,5.422605415202055,0.6130545735359192
68,1,0,79a6f286,34.4721,-29.524881,1.861195,2.927169882998152,-17.69099,-17.506911191466667,35.346527099609375,87.54594421386719,91.5119857788086,6.357019057462235,1.3936182260513306,-34.38686,-8.293318,2.608687577078139,-25.341621,-25.34566970488889,41.933101654052734,85.61756134033203,82.95153045654297,5.620892643251095,1.1869412660598755
69,1,0,8416c38c,41.434,-31.794855,-2.13787,2.82365469675415,-20.999336,-20.96190932817778,34.998565673828125,89.4258041381836,95.33987426757812,7.160031766824115,1.572841763496399,-34.491745,-12.775217,2.2717004845778135,-24.947958,-25.080465628800003,35.698028564453125,81.33533477783203,80.31613159179688,2.4531430280253783,0.4744005501270294
70,1,0,f2bdb041,40.7001,-28.893644,2.164179,2.6519663029328977,-18.560606,-18.543198965155554,34.99849319458008,87.99148559570312,88.62114715576172,8.305030008935407,1.3219101428985596,-36.252247,-16.955387,2.267158348594863,-25.511093,-25.66068960444444,36.50654983520508,80.46770477294922,78.68428039550781,0.6833900375615123,-0.11681881546974182
71,0,1,3ab15430,37.338,-31.620201,-8.813203,2.2593659405558393,-19.180796,-19.302027030222224,23.51580047607422,87.13656616210938,91.4122314453125,1.033975233344682,-0.21560028195381165,-36.617565,-16.238491,2.140772519031427,-26.160299,-26.351513331377774,24.713886260986328,84.75912475585938,78.53675842285156,1.0078953892511908,-0.17479382455348969
72,0,1,d8b894c2,45.3718,-35.885933,11.378847,3.549839221431708,-23.606899,-23.409918604444442,33.980464935302734,122.10990905761719,103.26828002929688,22.998904201945503,3.2898261547088623,-34.142929,-7.54845,2.397171247952221,-24.86801,-25.004318408000003,35.962554931640625,97.69000244140625,77.70030975341797,5.7753962128090865,0.7398039102554321
73,1,0,29795667,44.615,-38.154617,-0.34302699999999997,3.0414315762173665,-26.11128,-25.965319849066663,37.2723388671875,103.11336517333984,101.35140228271484,9.964750297511209,1.661437749862671,-39.493469,-15.970196,2.27880869168435,-28.609655,-28.602832542755557,35.36092758178711,95.16183471679688,78.16873931884766,1.3932943666431505,-0.0956900492310524
74,1,0,cb639848,38.4608,-29.543621,-1.793378,2.787709805584204,-19.439142,-19.3894212736,38.4519157409668,96.18385314941406,101.88182067871094,3.5535358996620197,0.748887836933136,-37.500542,-14.124306,2.337056151691017,-26.618216,-26.65693651395556,36.20860290527344,82.78336334228516,82.94429016113281,1.7442884104219019,0.06975827366113663
75,1,0,b8e965d2,34.4721,-34.417709,-0.536829,4.977949302614021,-23.743334,-22.731021044444446,41.318931579589844,102.3398666381836,132.16082763671875,4.14795683646793,1.8398363590240479,-36.000755,-10.333133,2.8428253239720838,-25.896084,-25.73863493866667,41.442626953125,83.85753631591797,81.04611206054688,3.3016070898836007,1.0383861064910889
76,0,1,ebff4efc,42.5381,-35.205013,2.354557,3.364547082008899,-25.101292,-24.8831126864,34.27434158325195,100.89673614501953,126.55492401123047,14.1613073503075,2.598264694213867,-41.223267,-6.90487,2.6936870289250665,-30.098932,-30.11906981671111,38.66650390625,102.61262512207031,95.3737564086914,9.580431091122986,1.3945847749710083
77,1,0,50853a36,37.6877,-31.542986,-5.88469,2.7000546647663026,-21.824661,-21.864896422755557,33.517704010009766,87.34375762939453,84.90342712402344,3.186086667228407,0.6257758140563965,-38.724667,-15.802877,2.205572153924356,-28.02578,-28.27650277493333,36.6710205078125,80.08674621582031,76.49466705322266,1.6388968557341963,-0.050817038863897324
78,1,0,8e0f4515,34.4718,-31.394329,8.129339,3.1393259908628144,-18.734961,-18.522830849777776,37.37014389038086,95.54419708251953,92.26631927490234,13.906956167018915,2.361980676651001,-34.418228,-6.202612,2.520690382275171,-25.11817,-25.05072776906667,43.933040618896484,83.30304718017578,77.90369415283203,7.343486115651324,1.182768702507019
79,0,1,ba84b60e,42.7764,-31.683483,-1.762944,2.6504949086525715,-20.242134,-20.309280438755557,24.302644729614258,90.88580322265625,116.94302368164062,3.5800405371881556,0.5435240864753723,-38.304928,-9.908545,2.459841583692101,-28.760424,-28.79005914666666,30.736255645751953,101.59188842773438,94.00224304199219,5.748818304006209,0.7627314925193787
